definition_baseline,definition_alt,rs,x_base,x_alt,dx_total,dx_p0,dx_pa,dx_int,closure
PT_wetref,ML_wetconst,17.012542798525892,0.7818713436995036,0.9711488915288939,0.18927754782939032,0.18927754782939032,0.0,0.0,0.0
PT_wetref,ML_wetconst,21.544346900318832,0.7764860021066603,0.9644598517520323,0.187973849645372,0.187973849645372,0.0,0.0,0.0
PT_wetref,ML_wetconst,27.28333376486768,0.7700712466487512,0.9564921947934066,0.18642094814465549,0.18642094814465549,0.0,0.0,0.0
PT_wetref,ML_wetconst,34.55107294592218,0.7625323425152205,0.9471282521810852,0.1845959096658647,0.1845959096658647,0.0,0.0,0.0
PT_wetref,ML_wetconst,43.75479375074185,0.7538100942919471,0.9362944983136108,0.18248440402166366,0.18248440402166366,0.0,0.0,0.0
PT_wetref,ML_wetconst,55.41020330009492,0.7438985362716414,0.923983523288999,0.18008498701735765,0.18008498701735765,0.0,0.0,0.0
PT_wetref,ML_wetconst,70.17038286703826,0.7328610521823857,0.9102740549411374,0.17741300275875171,0.17741300275875171,0.0,0.0,0.0
PT_wetref,ML_wetconst,88.86238162743403,0.7208407640405694,0.8953438626545797,0.17450309861401025,0.17450309861401025,0.0,0.0,0.0
PT_wetref,ML_wetconst,112.53355826007646,0.7080610047874729,0.8794703444182844,0.1714093396308115,0.1714093396308115,0.0,0.0,0.0
PT_wetref,ML_wetconst,142.5102670302998,0.6948132432177763,0.863015528587875,0.16820228537009874,0.16820228537009874,0.0,0.0,0.0
PT_wetref,ML_wetconst,180.47217668271702,0.6814328490939253,0.84639597215278,0.16496312305885463,0.16496312305885463,0.0,0.0,0.0
PT_wetref,ML_wetconst,228.54638641349908,0.6682666002830888,0.8300424019122626,0.16177580162917382,0.16177580162917382,0.0,0.0,0.0
PT_wetref,ML_wetconst,289.4266124716752,0.6556383512597532,0.8143570719154689,0.15871872065571568,0.15871872065571568,0.0,0.0,0.0
PT_wetref,ML_wetconst,366.5241237079626,0.6438197245838594,0.7996773598526372,0.15585763526877783,0.15585763526877783,0.0,0.0,0.0
PT_wetref,ML_wetconst,464.15888336127773,0.6330108720360271,0.7862518707934538,0.1532409987574267,0.1532409987574267,0.0,0.0,0.0
PT_wetref,ML_wetconst,587.8016072274912,0.6233332806981594,0.7742315017440262,0.1508982210458668,0.1508982210458668,0.0,0.0,0.0
PT_wetref,ML_wetconst,744.3803013251688,0.6148335414625953,0.7636741224470109,0.14884058098441566,0.14884058098441566,0.0,0.0,0.0
PT_wetref,ML_wetconst,942.6684551178854,0.6074949674503464,0.754559006418232,0.14706403896788567,0.14706403896788567,0.0,0.0,0.0
PT_wetref,ML_wetconst,1193.7766417144358,0.6012532600712647,0.7468062894894318,0.14555302941816717,0.14555302941816717,0.0,0.0,0.0
PT_wetref,ML_wetconst,1511.7750706156614,0.5960128380823025,0.7402972518494999,0.14428441376719736,0.14428441376719736,0.0,0.0,0.0
PT_wetref,ML_wetconst,1914.4819761699575,0.5916614414417805,0.7348924572396214,0.14323101579784092,0.14323101579784092,0.0,0.0,0.0
PT_wetref,ML_wetconst,2424.462017082328,0.5880817517195576,0.7304461864640418,0.14236443474448424,0.14236443474448424,0.0,0.0,0.0
PT_wetref,ML_wetconst,3070.2906297578497,0.5851596971915275,0.7268167530044956,0.14165705581296806,0.14165705581296806,0.0,0.0,0.0
PT_wetref,ML_wetconst,3888.155180308085,0.5827897227220804,0.7238730486501895,0.14108332592810913,0.14108332592810913,0.0,0.0,0.0
PT_wetref,ML_wetconst,4923.882631706737,0.5808776058259361,0.7214980412795677,0.14062043545363168,0.14062043545363168,0.0,0.0,0.0
