regime,x,y
"Strong adjustment: shallow h, moderate ventilation",0.991336915587442,0.987758373879696
"Strong adjustment: shallow h, moderate ventilation",0.9908128494555588,0.9870176946326567
"Strong adjustment: shallow h, moderate ventilation",0.9902575691023153,0.9862328827044444
"Strong adjustment: shallow h, moderate ventilation",0.9896692761120127,0.9854013932758803
"Strong adjustment: shallow h, moderate ventilation",0.9890460759901892,0.9845205453028378
"Strong adjustment: shallow h, moderate ventilation",0.988385973971945,0.9835875155365686
"Strong adjustment: shallow h, moderate ventilation",0.9876868707692306,0.9825993324512142
"Strong adjustment: shallow h, moderate ventilation",0.9869465582746934,0.9815528701025087
"Strong adjustment: shallow h, moderate ventilation",0.9861627152426211,0.9804448419460207
"Strong adjustment: shallow h, moderate ventilation",0.9853329029711543,0.9792717946480934
"Strong adjustment: shallow h, moderate ventilation",0.9844545610135804,0.978030101927954
"Strong adjustment: shallow h, moderate ventilation",0.9835250029508964,0.9767159584753092
"Strong adjustment: shallow h, moderate ventilation",0.9825414122622794,0.9753253739941498
"Strong adjustment: shallow h, moderate ventilation",0.9815008383352196,0.9738541674304717
"Strong adjustment: shallow h, moderate ventilation",0.9804001926624354,0.9722979614491849
"Strong adjustment: shallow h, moderate ventilation",0.97923624527858,0.9706521772336807
"Strong adjustment: shallow h, moderate ventilation",0.9780056234653167,0.9689120296566838
"Strong adjustment: shallow h, moderate ventilation",0.9767048009631742,0.9670725231120619
"Strong adjustment: shallow h, moderate ventilation",0.975330107354262,0.9651284476226409
"Strong adjustment: shallow h, moderate ventilation",0.9738777182230377,0.9630743759734808
"Strong adjustment: shallow h, moderate ventilation",0.9723436557951732,0.9609046615237318
"Strong adjustment: shallow h, moderate ventilation",0.9707237883064946,0.9586134370157904
"Strong adjustment: shallow h, moderate ventilation",0.9690138301803052,0.9561946144973942
"Strong adjustment: shallow h, moderate ventilation",0.9672093431260652,0.9536418865139675
"Strong adjustment: shallow h, moderate ventilation",0.9653057382805936,0.9509487287401298
"Strong adjustment: shallow h, moderate ventilation",0.9632982777508725,0.9481084043288966
"Strong adjustment: shallow h, moderate ventilation",0.9611820864948183,0.9451139695993743
"Strong adjustment: shallow h, moderate ventilation",0.9589521471673546,0.9419582826305353
"Strong adjustment: shallow h, moderate ventilation",0.9566033156293915,0.938634013244793
"Strong adjustment: shallow h, moderate ventilation",0.954130328205769,0.9351336557880162
"Strong adjustment: shallow h, moderate ventilation",0.9515278131078012,0.9314495445229186
"Strong adjustment: shallow h, moderate ventilation",0.9487903038506628,0.9275738718927041
"Strong adjustment: shallow h, moderate ventilation",0.9459122549006861,0.9234987098852712
"Strong adjustment: shallow h, moderate ventilation",0.9428880597061408,0.9192160347140187
"Strong adjustment: shallow h, moderate ventilation",0.9397120807414275,0.9147177541469138
"Strong adjustment: shallow h, moderate ventilation",0.9363786253125544,0.9099957437961473
"Strong adjustment: shallow h, moderate ventilation",0.9328820664049672,0.9050418741749721
"Strong adjustment: shallow h, moderate ventilation",0.9292167767482539,0.8998480592869589
"Strong adjustment: shallow h, moderate ventilation",0.9253772080312582,0.8944062961338872
"Strong adjustment: shallow h, moderate ventilation",0.9213579163348441,0.8887087138571302
"Strong adjustment: shallow h, moderate ventilation",0.9171535999282431,0.8827476260194206
"Strong adjustment: shallow h, moderate ventilation",0.9127591400819911,0.876515587135149
"Strong adjustment: shallow h, moderate ventilation",0.9081696447367779,0.8700054532167113
"Strong adjustment: shallow h, moderate ventilation",0.9033804948898175,0.8632104461557214
"Strong adjustment: shallow h, moderate ventilation",0.8983874240705138,0.856124215041456
"Strong adjustment: shallow h, moderate ventilation",0.8931864165278831,0.8487409403029847
"Strong adjustment: shallow h, moderate ventilation",0.8877740660611181,0.8410553413831974
"Strong adjustment: shallow h, moderate ventilation",0.8821473245981002,0.8330628187145807
"Strong adjustment: shallow h, moderate ventilation",0.8763037103318639,0.824759497784246
"Strong adjustment: shallow h, moderate ventilation",0.8702413329377112,0.8161423137092333
"Strong adjustment: shallow h, moderate ventilation",0.8639589487362179,0.8072090885342763
"Strong adjustment: shallow h, moderate ventilation",0.8574560148791758,0.7979586072705076
"Strong adjustment: shallow h, moderate ventilation",0.8507327415711787,0.7883906913681012
"Strong adjustment: shallow h, moderate ventilation",0.8437901414725679,0.7785062684389633
"Strong adjustment: shallow h, moderate ventilation",0.8366300753559198,0.76830743695168
"Strong adjustment: shallow h, moderate ventilation",0.8292552930579055,0.7577975245782872
"Strong adjustment: shallow h, moderate ventilation",0.8216694687572641,0.7469811388560958
